open,high,low,close,volume
99.9818,100.1194,99.6534,100.0497,14499
100.0053,100.0926,99.8248,100.0359,8919
100.0409,100.2882,99.9832,100.1007,26602
100.2643,100.3694,100.2232,100.2532,37869
100.3498,100.5285,100.0245,100.2298,8571
100.129,100.3374,100.0672,100.2063,31467
100.4651,100.766,100.128,100.3647,20044
100.3632,100.7548,100.367,100.4417,13596
100.3095,100.4411,100.3793,100.3946,23342
100.5313,100.8844,100.3964,100.4491,12197
100.4951,100.5637,100.3484,100.4025,32227
100.4412,100.4457,100.01,100.3558,48568
100.248,100.4978,100.1487,100.3801,4749
100.1415,100.3979,100.1075,100.1882,28425
100.0978,100.1201,99.3968,100.0155,40873
99.9635,99.9736,99.8312,99.9593,24017
99.7509,100.1256,99.584,99.8581,24078
99.9353,100.1925,99.7523,99.8895,31184
99.7275,99.9902,99.6793,99.7988,47386
99.8368,100.0209,99.5496,99.658,22778
99.9584,100.246,99.6045,99.8042,5703
99.8419,99.8225,99.6333,99.7816,49983
99.9242,99.8181,99.7267,99.7884,1600
99.6528,99.7133,99.5622,99.6463,47326
99.6683,99.7782,99.3735,99.5921,43519
99.7503,99.877,99.5569,99.6031,26240
99.5129,99.8613,99.2806,99.4885,48947
99.5005,99.7037,99.0504,99.5259,38725
99.2966,99.4827,99.4466,99.4662,48346
99.4288,99.5266,99.1234,99.4371,29357
99.4591,99.4608,99.3722,99.3773,23557
99.6557,99.7977,99.4195,99.5616,11231
99.6104,99.8214,99.2139,99.5602,5576
99.4012,99.5478,99.2684,99.455,12982
99.34,99.6818,99.4321,99.5368,23647
99.3662,99.4437,99.3964,99.4154,31488
99.4058,99.6137,99.2423,99.4361,39780
99.2104,99.2708,99.0473,99.2415,41708
99.1711,99.3511,99.0959,99.1098,24041
99.3261,99.4311,99.1051,99.1293,24631
99.2148,99.2717,99.0795,99.2025,8526
99.198,99.2338,99.2053,99.2195,38054
99.1823,99.7382,99.0458,99.208,47715
99.1905,99.3936,99.1657,99.1782,19341
98.9496,99.1927,98.862,99.0316,20472
98.9723,99.1481,98.939,98.9604,27654
98.9594,99.0546,98.7176,98.9148,47302
99.0402,99.1814,98.7867,99.0194,6189
99.0987,99.2153,98.7498,99.0534,2827
98.9219,99.199,98.8693,98.879,44399
98.7357,99.3207,98.7591,98.911,26692
98.9359,98.9444,98.8666,98.8729,3005
98.7397,99.0921,98.7427,98.806,29695
98.7582,99.1452,98.4426,98.8665,7590
98.8592,99.082,98.832,98.9685,33935
99.1036,99.2342,98.829,99.0607,16105
98.9556,99.1338,98.9732,98.9776,14587
98.7806,99.1664,98.8165,98.947,11192
99.0271,99.2255,98.8705,98.9798,9480
98.9338,99.4982,98.7407,99.0764,18421
99.0427,99.1181,98.9657,99.0289,28061
99.0341,99.1154,98.8314,99.0105,7198
98.9886,99.0488,98.8711,98.901,12556
98.9588,98.8935,98.6603,98.7828,22207
98.7282,99.2052,98.7806,98.8631,11323
98.9921,99.344,98.9469,98.9973,46424
98.9627,99.1155,98.7709,98.9901,4973
99.1325,99.1862,99.0585,99.0895,43144
99.1468,99.1525,98.6724,99.1254,14183
99.0265,99.2357,98.8711,99.0614,44313
99.0536,99.2447,98.8714,99.0973,31171
99.139,99.3848,99.2148,99.2498,12859
99.3442,99.2631,99.1674,99.2462,46765
99.4472,99.6357,99.3928,99.4016,33967
99.2326,99.2259,99.0054,99.1416,17338
99.1923,99.3894,99.0649,99.2231,25910
99.1665,99.4951,98.9619,99.2317,20797
99.0951,99.2669,98.9479,99.2021,17562
99.2468,99.2607,99.1126,99.2112,26025
98.9112,99.0462,98.8962,99.0142,2724
99.1754,99.0468,98.8738,98.9924,34947
98.8983,99.1429,98.8677,99.0278,22219
99.2013,99.7483,99.1212,99.1742,18251
99.2782,99.3594,98.9914,99.1229,49299
99.102,99.3982,98.9587,99.0427,34745
99.0105,99.1143,98.6378,98.9931,47475
98.9877,99.2951,98.9168,99.0837,33762
98.9793,99.1435,98.8706,99.1163,14522
99.1401,99.1009,99.0105,99.0638,21024
99.264,99.312,98.983,99.1147,42625
99.0808,99.1351,99.0145,99.1243,44032
99.1074,99.3777,98.971,99.2204,11715
98.907,99.4121,98.9457,99.1507,38065
99.021,99.2898,99.0134,99.1182,9038
99.0681,99.1982,99.0756,99.0794,7732
99.0927,99.1444,98.9281,98.9345,46927
99.0304,99.1554,98.538,98.9638,4550
99.0198,99.3536,98.7486,98.9896,24920
98.9505,99.3353,98.957,98.9901,20834
98.9092,99.1074,98.9327,98.9669,39358
98.9658,99.2043,98.7256,98.8269,38853
98.8052,98.9415,98.6938,98.7854,44442
98.5439,99.0598,98.4018,98.7515,46033
98.6058,98.8364,98.57,98.6723,49915
98.5717,98.7642,98.6212,98.6564,22514
98.6424,98.7987,98.5733,98.6963,42523
98.9383,98.9025,98.6716,98.8826,40989
98.8893,99.0016,98.8716,98.8999,42206
98.9178,99.173,98.679,98.9254,47598
99.0479,99.0083,98.742,98.918,17257
98.6596,99.0467,98.5417,98.7284,25980
98.9098,98.7568,98.6411,98.7258,48684
98.6654,98.822,98.6589,98.7317,23901
98.984,99.2327,98.9234,98.9752,18611
98.9284,99.0151,98.5618,98.9562,9824
98.9982,99.0282,98.9081,98.986,7435
99.0266,99.0433,98.9406,98.9826,23804
98.9099,99.0439,98.6951,98.867,46309
98.9055,99.0763,98.6435,98.98,39910
98.9433,99.3154,99.0401,99.0545,9850
99.381,99.297,98.9214,99.1329,30883
98.9948,99.0908,98.9787,99.0427,24888
99.2511,99.5273,99.1022,99.1818,28997
98.8836,99.1983,98.7602,99.0428,13744
99.0733,99.3145,98.8232,99.101,32137
99.3057,99.5998,99.2331,99.3183,40068
99.2669,99.9349,99.1862,99.22,10075
98.8938,99.172,98.8626,99.1638,42656
99.1902,99.4554,99.0487,99.1737,13616
99.0098,99.3246,99.0681,99.1238,14617
99.0023,99.1674,98.8015,98.9702,9906
98.8744,99.3282,98.9278,98.977,37757
98.7873,98.9548,98.4939,98.8719,30744
98.8916,99.0174,98.6184,98.9187,32381
98.7238,98.891,98.7796,98.8278,44965
98.934,99.0173,98.8268,98.9811,43299
98.7856,98.9666,98.7595,98.9036,10935
98.6905,99.1807,98.5822,98.8717,41182
99.0529,99.0468,98.6431,98.9522,16878
98.7024,98.8907,98.6501,98.8305,11870
98.8353,98.8875,98.755,98.853,24070
99.0568,99.0275,98.8327,98.9823,30020
98.7625,99.2016,98.782,98.8233,49874
98.7599,98.9562,98.6173,98.8415,6400
98.8896,99.0031,98.6513,98.8672,26376
99.0552,99.2291,98.6297,98.9446,34374
98.7066,99.0504,98.6705,98.8222,30015
98.677,98.9206,98.4539,98.6918,43877
98.5723,98.7494,98.3165,98.7434,4109
98.7339,99.1827,98.4096,98.7727,17749
98.8008,98.8853,98.795,98.7974,46436
98.7472,99.1749,98.7744,98.8317,32869
98.7194,99.0349,98.4737,98.7645,41111
98.6483,98.9394,98.5264,98.7874,5041
98.824,99.1431,98.7768,98.8164,10176
98.85,98.9657,98.5209,98.7458,41764
98.8217,99.0581,98.6886,98.9302,42450
98.9155,99.1893,98.7129,98.9771,15528
98.909,98.8976,98.7311,98.8593,46933
99.0441,98.9449,98.8831,98.9242,31029
98.6802,98.8962,98.7069,98.8278,4644
98.8889,99.0592,98.7285,98.9056,5224
99.0483,99.1681,98.9544,99.0203,32749
98.929,98.9916,98.7275,98.9391,29646
98.7891,99.1018,98.814,99.0344,3026
99.1249,99.2164,98.733,99.0753,33201
99.3075,99.1935,98.8889,99.1568,1020
99.3567,99.5074,99.1562,99.3451,16554
99.2183,99.3323,99.2474,99.3207,48954
99.195,99.2629,99.1765,99.2459,11689
99.3331,99.2095,99.1331,99.1576,6018
99.1669,99.4267,98.9546,99.0767,45523
99.1325,99.0953,98.9955,99.0691,24455
99.1382,99.302,99.008,99.1029,46707
99.0648,99.1758,99.117,99.1303,35221
99.1925,99.2597,99.1266,99.2124,11663
99.206,99.2373,99.176,99.2137,22640
99.4126,99.3697,98.8202,99.358,11321
99.4816,99.3873,99.1955,99.3317,23845
99.7136,99.7933,99.5524,99.6022,27988
99.5231,99.9567,99.5314,99.6646,46820
99.6015,99.7095,99.467,99.5792,23370
99.5459,99.6513,99.3103,99.4726,32075
99.5822,99.669,99.3781,99.5206,34703
99.4358,99.5292,99.4972,99.4984,9426
99.8596,99.7222,99.365,99.5694,30310
99.4894,99.7587,99.4585,99.6166,9530
99.5014,99.7662,99.577,99.6093,45987
99.5482,99.6961,99.2197,99.525,37293
99.5848,99.5924,99.2095,99.3744,27078
99.2469,99.4072,99.2963,99.33,6978
99.3887,99.4186,99.4107,99.4151,25191
99.5435,99.4845,99.3437,99.4364,12875
99.3108,99.6854,99.1647,99.3126,11682
99.2966,99.6718,99.2606,99.3298,13707
99.4243,99.4226,99.321,99.3681,18089
99.3074,99.3146,99.037,99.2803,5847
